"ValueClassification","Value","DescriptionClassification","Description"
"(U) ","HCS","(U) ","HCS"
"(U) ","HCS-O","(U) ","HCS-O"
"(U) ","HCS-P","(U) ","HCS-P"
"(U) ","RSV","(U) ","RESERVE"
"(U) ","SI","(U) ","SPECIAL INTELLIGENCE"
"(U) ","SI-EU","(U) ","ECRU"
"(U) ","SI-G","(U) ","SI-GAMMA"
"(U) ","SI-NK","(U) ","NONBOOK"
"(U) ","TK","(U) ","TALENT KEYHOLE"
"(U) ","TK-BLFH","(U) ","BLUEFISH"
"(U) ","TK-IDIT","(U) ","IDITAROD"
"(U) ","TK-KAND","(U) ","KANDIK"

