"ValueClassification","Value","DescriptionClassification","Description"
"(U) ","ATOMAL","(U) ","NATO Atomal mark"
"(U) ","BOHEMIA","(U) ","NATO Bohemia mark"
"(U) ","BALK","(U) ","NATO Balk mark"

