"ValueClassification","Value","DescriptionClassification","Description"
"(U) ","RD","(U) ","RESTRICTED DATA"
"(U) ","RD-CNWDI","(U) ","RD-CRITICAL NUCLEAR WEAPON DESIGN INFORMATION"
"(U) ","RD-SG-((14)|(15)|(18)|(20))","(U) ","RD-SIGMA-#, # represents the SIGMA number which may be 14, 15, 18, or 20."
"(U) ","FRD","(U) ","FORMERLY RESTRICTED DATA"
"(U) ","FRD-SG-((14)|(15)|(18)|(20))","(U) ","FRD-SIGMA-#, # represents the SIGMA number which may be 14, 15, 18, or 20."
"(U) ","DCNI","(U) ","DoD CONTROLLED NUCLEAR INFORMATION"
"(U) ","UCNI","(U) ","DoE CONTROLLED NUCLEAR INFORMATION"
"(U) ","TFNI","(U) ","TRANSCLASSIFIED FOREIGN NUCLEAR INFORMATION"

