"ValueClassification","Value","DescriptionClassification","Description"
"(U) ","USGov","(U) ","Document claims compliance with all rules encoded in ISM for
			      	documents produced by the US Federal Government. This is the minimum set of rules
			      	for US documents to adhere to, and all US documents should claim compliance with
			      	USGov. For example, a US Intelligence Community document should claim
			      	ism:compliesWith="USGov USIC"."
"(U) ","USIC","(U) ","Document claims compliance with all rules encoded in ISM for
			      	documents produced by the US Intelligence Community. Documents that claim compliance
			      	with USIC MUST also claim compliance with USGov."
"(U) ","USDOD","(U) ","Document claims compliance with all rules encoded in ISM for
			      	documents produced by the US Department of Defense. Documents that claim compliance
			      	with USDOD MUST also claim compliance with USGov."
"(U) ","OtherAuthority","(U) ","Document claims compliance with an authority other than the
			      	USGov, USIC, or USDOD. This token is not allowed if the ism:ownerProducer contains
			      	USA."

