"ValueClassification","Value","DescriptionClassification","Description"
"(U) ","Notice","(U) ","Notice element"
"(U) ","NoticeText","(U) ","NoticeText element"
"(U) ","NoticeList","(U) ","NoticeList element"
"(U) ","NoticeExternal","(U) ","NoticeExternal element"
"(U) ","NoticeExternalList","(U) ","NoticeExternalList element"

