"ValueClassification","Value","DescriptionClassification","Description"
"(U) ","TS","(U) ","TOP SECRET"
"(U) ","S","(U) ","SECRET"
"(U) ","C","(U) ","CONFIDENTIAL"
"(U) ","U","(U) ","UNCLASSIFIED"

