"ValueClassification","Value","DescriptionClassification","Description"
"(U) ","KGZ","(U) ","Kyrgyz Republic"
"(U) ","KHM","(U) ","Kingdom of Cambodia"
"(U) ","KIR","(U) ","Republic of Kiribati"
"(U) ","KNA","(U) ","Federation of Saint Kitts and Nevis"
"(U) ","KOR","(U) ","Republic of Korea"
"(U) ","KWT","(U) ","State of Kuwait"
"(U) ","LAO","(U) ","Lao People’s Democratic Republic"
"(U) ","LBN","(U) ","Lebanese Republic"
"(U) ","LBR","(U) ","Republic of Liberia"
"(U) ","LBY","(U) ","Libya"
"(U) ","LCA","(U) ","Saint Lucia"
"(U) ","LIE","(U) ","Principality of Liechtenstein"
"(U) ","LKA","(U) ","Democratic Socialist Republic of Sri Lanka"
"(U) ","LSO","(U) ","Kingdom of Lesotho"
"(U) ","LTU","(U) ","Republic of Lithuania"
"(U) ","LUX","(U) ","Grand Duchy of Luxembourg"
"(U) ","LVA","(U) ","Republic of Latvia"
"(U) ","MAC","(U) ","Macau Special Administrative Region"
"(U) ","MAF","(U) ","Saint Martin"
"(U) ","MAR","(U) ","Kingdom of Morocco"
"(U) ","MCO","(U) ","Principality of Monaco"
"(U) ","MDA","(U) ","Republic of Moldova"
"(U) ","MDG","(U) ","Republic of Madagascar"
"(U) ","MDV","(U) ","Republic of Maldives"
"(U) ","MEX","(U) ","United Mexican States"
"(U) ","MHL","(U) ","Republic of the Marshall Islands"
"(U) ","MKD","(U) ","Republic of Macedonia"
"(U) ","MLI","(U) ","Republic of Mali"
"(U) ","MLT","(U) ","Republic of Malta"
"(U) ","MMR","(U) ","Union of Burma"
"(U) ","MNE","(U) ","Montenegro"
"(U) ","MNG","(U) ","Mongolia"
"(U) ","MNP","(U) ","Commonwealth of the Northern Mariana Islands"
"(U) ","MOZ","(U) ","Republic of Mozambique"
"(U) ","MRT","(U) ","Islamic Republic of Mauritania"
"(U) ","MSR","(U) ","Montserrat"
"(U) ","MTQ","(U) ","Territorial Collectivity of Martinique"
"(U) ","MUS","(U) ","Republic of Mauritius"
"(U) ","MWI","(U) ","Republic of Malawi"
"(U) ","MYS","(U) ","Malaysia"
"(U) ","MYT","(U) ","Department of Mayotte"
"(U) ","NAM","(U) ","Republic of Namibia"
"(U) ","NCL","(U) ","New Caledonia"
"(U) ","NER","(U) ","Republic of Niger"
"(U) ","NFK","(U) ","Territory of Norfolk Island"
"(U) ","NGA","(U) ","Federal Republic of Nigeria"
"(U) ","NIC","(U) ","Republic of Nicaragua"
"(U) ","NIU","(U) ","Niue"
"(U) ","NLD","(U) ","Kingdom of the Netherlands"
"(U) ","NOR","(U) ","Kingdom of Norway"
"(U) ","NPL","(U) ","Federal Democratic Republic of Nepal"
"(U) ","NRU","(U) ","Republic of Nauru"
"(U) ","NZL","(U) ","New Zealand"
"(U) ","OMN","(U) ","Sultanate of Oman"
"(U) ","PAK","(U) ","Islamic Republic of Pakistan"
"(U) ","PAN","(U) ","Republic of Panama"
"(U) ","PCN","(U) ","Pitcairn, Henderson, Ducie, and Oeno Islands"
"(U) ","PER","(U) ","Republic of Peru"
"(U) ","PHL","(U) ","Republic of the Philippines"
"(U) ","PLW","(U) ","Republic of Palau"
"(U) ","PNG","(U) ","Independent State of Papua New Guinea"
"(U) ","POL","(U) ","Republic of Poland"
"(U) ","PRI","(U) ","Commonwealth of Puerto Rico"
"(U) ","PRK","(U) ","Democratic People’s Republic of Korea"
"(U) ","PRT","(U) ","Portuguese Republic"
"(U) ","PRY","(U) ","Republic of Paraguay"
"(U) ","PYF","(U) ","French Polynesia"
"(U) ","QAT","(U) ","State of Qatar"
"(U) ","REU","(U) ","Region of Reunion"
"(U) ","ROU","(U) ","Romania"
"(U) ","RUS","(U) ","Russian Federation"
"(U) ","RWA","(U) ","Republic of Rwanda"
"(U) ","SAU","(U) ","Kingdom of Saudi Arabia"
"(U) ","SDN","(U) ","Republic of the Sudan"
"(U) ","SEN","(U) ","Republic of Senegal"
"(U) ","SGP","(U) ","Republic of Singapore"
